Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","324","Guinea","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.19","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","624","Guinea-Bissau","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","328","Guyana","5610","Import Quantity","01344.02","Cherries","2022","2022","t","5.58","A","Official figure",""
"TCL","Crops and livestock products","328","Guyana","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","14.03","A","Official figure",""
"TCL","Crops and livestock products","332","Haiti","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2.58","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","340","Honduras","5610","Import Quantity","01344.02","Cherries","2022","2022","t","10.51","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","340","Honduras","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.09","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","340","Honduras","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","4.39","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","348","Hungary","5610","Import Quantity","01344.02","Cherries","2022","2022","t","1235.1","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1790.63","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","493.32","A","Official figure",""
"TCL","Crops and livestock products","348","Hungary","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","9703.42","A","Official figure",""
"TCL","Crops and livestock products","352","Iceland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","48.13","A","Official figure",""
"TCL","Crops and livestock products","352","Iceland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","356","India","5610","Import Quantity","01344.02","Cherries","2022","2022","t","1462","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export Quantity","01344.02","Cherries","2022","2022","t","12.18","A","Official figure",""
"TCL","Crops and livestock products","356","India","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","1.9","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.23","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","268.27","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.55","A","Official figure",""
"TCL","Crops and livestock products","360","Indonesia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","364","Iran (Islamic Republic of)","5610","Import Quantity","01344.02","Cherries","2022","2022","t","23.25","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","364","Iran (Islamic Republic of)","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","358","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","01344.02","Cherries","2022","2022","t","7848.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","368","Iraq","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","182","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","431.33","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","16.34","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","1.5","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.23","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","01344.02","Cherries","2022","2022","t","7460.11","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","01344.02","Cherries","2022","2022","t","8026.77","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","978.34","A","Official figure",""
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1388.31","A","Official figure",""
"TCL","Crops and livestock products","388","Jamaica","5610","Import Quantity","01344.02","Cherries","2022","2022","t","34.99","A","Official figure",""
"TCL","Crops and livestock products","388","Jamaica","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1.33","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2369.46","A","Official figure",""
"TCL","Crops and livestock products","392","Japan","5910","Export Quantity","01344.02","Cherries","2022","2022","t","2.89","A","Official figure",""
"TCL","Crops and livestock products","400","Jordan","5610","Import Quantity","01344.02","Cherries","2022","2022","t","594.73","I","Imputed value",""
